Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
428,T.J. Warren\warretj01,SF,23,PHO,38,31,29.3,5.4,12.0,.451,0.4,1.8,.254,5.0,10.3,.485,.469,1.8,2.3,.787,1.7,2.2,3.9,1.0,1.2,0.3,0.8,2.8,13.1
429,C.J. Watson\watsocj01,PG,32,ORL,41,5,16.2,1.4,3.7,.388,0.5,1.6,.323,0.9,2.1,.437,.457,1.0,1.1,.851,0.2,1.2,1.4,1.7,0.7,0.0,0.6,1.1,4.4
430,David West\westda01,PF,36,GSW,42,0,11.5,1.7,3.2,.545,0.0,0.1,.500,1.7,3.1,.546,.552,0.6,0.8,.743,0.6,2.1,2.7,2.1,0.7,0.5,1.0,1.4,4.1
431,Russell Westbrook\westbru01,PG,28,OKC,51,51,34.7,9.9,23.7,.419,2.2,6.4,.340,7.7,17.3,.448,.465,8.8,10.6,.827,1.8,8.6,10.5,10.3,1.6,0.4,5.5,2.4,30.8
432,Okaro White\whiteok01,PF,24,MIA,9,0,16.4,1.3,2.8,.480,0.7,1.4,.462,0.7,1.3,.500,.600,0.8,0.8,1.000,0.3,2.2,2.6,0.3,0.3,0.4,0.6,1.6,4.1
433,Isaiah Whitehead\whiteis01,PG,21,BRK,42,25,22.3,2.7,7.0,.386,0.6,1.9,.316,2.1,5.1,.411,.428,1.1,1.4,.810,0.3,2.3,2.6,3.0,0.6,0.5,2.0,2.6,7.1
434,Hassan Whiteside\whiteha01,C,27,MIA,46,46,33.0,7.2,12.9,.556,0.0,0.0,,7.2,12.9,.556,.556,2.5,4.6,.555,3.7,10.2,14.0,0.7,0.7,2.1,2.1,3.0,16.9
435,Andrew Wiggins\wiggian01,SF,21,MIN,51,51,37.2,8.1,18.1,.449,1.2,3.5,.339,7.0,14.6,.475,.482,4.6,6.3,.743,1.2,2.9,4.1,2.5,0.8,0.4,2.4,2.2,22.1
436,C.J. Wilcox\wilcocj01,SG,26,ORL,16,0,4.7,0.3,1.1,.294,0.1,0.8,.167,0.2,0.3,.600,.353,0.1,0.1,1.000,0.1,0.4,0.6,0.6,0.1,0.1,0.3,0.3,0.9
437,Alan Williams\willial03,PF,24,PHO,19,0,6.6,1.1,2.1,.538,0.0,0.0,,1.1,2.1,.538,.538,0.6,1.2,.522,1.3,1.4,2.7,0.1,0.4,0.5,0.5,1.5,2.8
438,Deron Williams\willide01,PG,32,DAL,37,37,30.1,5.1,11.7,.432,1.6,4.6,.351,3.4,7.1,.485,.501,1.8,2.2,.817,0.4,2.3,2.7,7.1,0.5,0.1,2.4,2.4,13.5
439,Derrick Williams\willide02,PF,25,MIA,25,11,15.1,2.2,5.5,.394,0.4,1.8,.200,1.8,3.7,.489,.427,1.2,2.0,.620,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9
440,Lou Williams\willilo02,SG,30,LAL,53,1,24.3,5.5,12.7,.437,2.1,5.4,.381,3.5,7.3,.478,.518,5.1,5.8,.877,0.2,2.2,2.4,3.2,1.1,0.2,2.0,1.1,18.3
441,Marvin Williams\willima02,PF,30,CHO,45,45,27.8,4.0,9.8,.407,1.8,5.0,.367,2.2,4.8,.449,.501,1.4,1.6,.836,1.0,4.6,5.5,1.2,0.7,0.5,0.7,1.6,11.2
442,Reggie Williams\willire02,SF,30,NOP,5,0,12.6,1.4,4.0,.350,1.0,2.0,.500,0.4,2.0,.200,.475,1.2,1.4,.857,0.4,0.8,1.2,0.8,0.6,0.0,0.0,0.4,5.0
443,Troy Williams\willitr02,SF,22,MEM,24,13,17.4,2.1,5.1,.418,0.4,1.7,.244,1.7,3.4,.506,.459,0.6,1.0,.600,0.3,1.6,1.8,0.8,1.0,0.4,1.1,1.8,5.3
444,Kyle Wiltjer\wiltjky01,PF,24,HOU,9,0,3.2,0.3,1.1,.300,0.3,1.1,.300,0.0,0.0,,.450,0.1,0.2,.500,0.3,0.4,0.8,0.0,0.0,0.1,0.3,0.3,1.1
445,Justise Winslow\winslju01,SF,20,MIA,18,15,34.7,4.4,12.6,.354,0.4,1.9,.200,4.1,10.6,.382,.369,1.6,2.6,.617,1.3,3.9,5.2,3.7,1.5,0.3,1.8,2.9,10.9
446,Jeff Withey\witheje01,C,26,UTA,28,0,8.5,0.9,1.7,.553,0.0,0.0,.000,0.9,1.6,.565,.553,0.8,1.0,.786,0.9,1.5,2.3,0.1,0.3,0.7,0.3,1.0,2.6
447,Christian Wood\woodch01,PF,21,CHO,3,0,5.3,0.3,1.0,.333,0.0,0.7,.000,0.3,0.3,1.000,.333,0.7,0.7,1.000,0.0,2.0,2.0,0.3,0.0,0.7,0.0,0.0,1.3
448,Metta World Peace\artesro01,SF,37,LAL,17,1,4.6,0.3,1.5,.200,0.1,0.9,.133,0.2,0.6,.300,.240,0.2,0.4,.667,0.2,0.4,0.5,0.3,0.2,0.1,0.2,0.8,0.9
449,Brandan Wright\wrighbr03,PF,29,MEM,3,0,10.3,2.0,4.3,.462,0.0,0.3,.000,2.0,4.0,.500,.462,0.0,0.0,,2.0,1.3,3.3,0.0,0.7,0.0,0.3,1.0,4.0
450,James Young\youngja01,SG,21,BOS,14,0,6.3,0.6,1.5,.381,0.3,0.9,.333,0.3,0.6,.444,.476,0.3,0.4,.800,0.2,0.8,1.0,0.3,0.2,0.0,0.1,0.2,1.7
451,Joe Young\youngjo01,PG,24,IND,23,0,5.1,0.9,2.7,.339,0.2,0.9,.190,0.7,1.8,.415,.371,0.4,0.6,.692,0.0,0.6,0.6,0.6,0.2,0.0,0.2,0.2,2.4
452,Nick Young\youngni01,SG,31,LAL,46,46,26.7,4.8,10.7,.447,2.9,7.0,.419,1.9,3.7,.500,.583,1.3,1.6,.847,0.5,1.8,2.3,1.0,0.6,0.3,0.6,2.4,13.8
453,Thaddeus Young\youngth01,PF,28,IND,49,49,31.1,4.9,9.5,.522,0.9,2.3,.396,4.0,7.2,.561,.569,0.7,1.3,.571,1.5,4.6,6.1,1.7,1.8,0.5,1.5,1.9,11.5
454,Cody Zeller\zelleco01,PF,24,CHO,38,36,26.9,4.2,7.2,.590,0.0,0.0,,4.2,7.2,.590,.590,2.4,3.5,.689,2.3,4.2,6.6,1.4,0.7,1.1,1.2,3.2,10.9
455,Tyler Zeller\zellety01,C,27,BOS,31,5,12.3,1.8,4.0,.463,0.0,0.0,.000,1.8,3.9,.467,.463,0.5,0.8,.577,1.1,1.9,3.1,0.9,0.2,0.6,0.4,1.3,4.2
456,Stephen Zimmerman\zimmest01,C,20,ORL,8,0,4.0,0.6,1.4,.455,0.0,0.0,,0.6,1.4,.455,.455,0.0,0.1,.000,0.5,1.3,1.8,0.1,0.1,0.1,0.0,0.1,1.3
457,Paul Zipser\zipsepa01,SF,22,CHI,21,4,15.0,1.5,4.1,.356,0.6,2.0,.302,0.9,2.1,.409,.431,1.0,1.2,.800,0.3,2.0,2.2,0.4,0.2,0.2,0.7,1.0,4.5
458,Ivica Zubac\zubaciv01,C,19,LAL,18,1,12.3,2.3,4.6,.494,0.0,0.0,,2.3,4.6,.494,.494,0.8,0.9,.824,1.2,2.5,3.7,0.5,0.2,0.6,0.8,1.1,5.3
